epoch	acc	reward	align	active_ratio
1	0.097667	-0.000003	-0.000003	0.015656
2	0.097667	-0.000001	-0.000001	0.015656
3	0.097667	-0.000001	-0.000001	0.015656
4	0.097667	-0.000001	-0.000001	0.015657
5	0.097667	-0.000001	-0.000001	0.015656
6	0.097667	-0.000001	-0.000001	0.015656
7	0.097667	-0.000001	-0.000001	0.015656
8	0.097667	-0.000001	-0.000001	0.015656
9	0.097667	-0.000001	-0.000001	0.015656
10	0.097667	-0.000001	-0.000001	0.015656
11	0.097667	-0.000001	-0.000001	0.015656
12	0.097667	-0.000001	-0.000001	0.015656
13	0.097667	-0.000001	-0.000001	0.015656
14	0.097667	-0.000001	-0.000001	0.015656
15	0.097667	-0.000001	-0.000001	0.015656
16	0.097667	-0.000001	-0.000001	0.015657
17	0.097667	-0.000001	-0.000001	0.015656
18	0.097667	-0.000001	-0.000001	0.015656
19	0.097667	-0.000001	-0.000001	0.015656
20	0.097667	-0.000001	-0.000001	0.015656
21	0.097667	-0.000001	-0.000001	0.015656
22	0.097667	-0.000001	-0.000001	0.015656
23	0.097667	-0.000001	-0.000001	0.015656
24	0.097667	-0.000001	-0.000001	0.015656
25	0.097667	-0.000001	-0.000001	0.015656
26	0.097667	-0.000001	-0.000001	0.015656
27	0.097667	-0.000001	-0.000001	0.015656
28	0.097667	-0.000001	-0.000001	0.015656
29	0.097667	-0.000001	-0.000001	0.015656
30	0.097667	-0.000001	-0.000001	0.015655
