2025-12-08 23:21:36,464 - INFO - Args: {'scenario': 'grad', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 65536, 'events_per_image': 4096, 'run_name': 'grad_poisson_20251208_232134', 'log_interval': 125, 'num_epochs': 30, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 100, 'T_sup': 25, 'spike_array_len': 6, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 256, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 4096, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'poisson', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_poisson_20251208_232134', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_poisson_20251208_232134'}
2025-12-08 23:21:36,464 - INFO - Starting scenario: grad
2025-12-08 23:21:36,464 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_poisson_20251208_232134
2025-12-08 23:21:36,464 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_poisson_20251208_232134
2025-12-08 23:22:08,042 - INFO - Epoch 1 | Batch 125/3375 | Acc 0.2500 | Reward -0.0000 | Active 0.0158
2025-12-08 23:22:38,336 - INFO - Epoch 1 | Batch 250/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
2025-12-08 23:23:08,766 - INFO - Epoch 1 | Batch 375/3375 | Acc 0.3125 | Reward -0.0000 | Active 0.0157
2025-12-08 23:23:39,369 - INFO - Epoch 1 | Batch 500/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0156
2025-12-08 23:24:09,892 - INFO - Epoch 1 | Batch 625/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0156
2025-12-08 23:24:40,240 - INFO - Epoch 1 | Batch 750/3375 | Acc 0.2500 | Reward -0.0000 | Active 0.0158
2025-12-08 23:25:10,748 - INFO - Epoch 1 | Batch 875/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0157
2025-12-08 23:25:41,336 - INFO - Epoch 1 | Batch 1000/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0156
2025-12-08 23:26:11,980 - INFO - Epoch 1 | Batch 1125/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0158
2025-12-08 23:26:42,566 - INFO - Epoch 1 | Batch 1250/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0156
2025-12-08 23:27:12,995 - INFO - Epoch 1 | Batch 1375/3375 | Acc 0.1875 | Reward -0.0000 | Active 0.0156
2025-12-08 23:27:43,653 - INFO - Epoch 1 | Batch 1500/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0156
2025-12-08 23:28:14,141 - INFO - Epoch 1 | Batch 1625/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0158
2025-12-08 23:28:44,750 - INFO - Epoch 1 | Batch 1750/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
2025-12-08 23:29:15,421 - INFO - Epoch 1 | Batch 1875/3375 | Acc 0.0000 | Reward -0.0000 | Active 0.0154
2025-12-08 23:29:45,882 - INFO - Epoch 1 | Batch 2000/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0156
2025-12-08 23:30:16,543 - INFO - Epoch 1 | Batch 2125/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
2025-12-08 23:30:47,214 - INFO - Epoch 1 | Batch 2250/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0158
2025-12-08 23:31:17,797 - INFO - Epoch 1 | Batch 2375/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0156
2025-12-08 23:31:48,535 - INFO - Epoch 1 | Batch 2500/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0156
2025-12-08 23:32:19,265 - INFO - Epoch 1 | Batch 2625/3375 | Acc 0.1875 | Reward -0.0000 | Active 0.0158
2025-12-08 23:32:49,430 - INFO - Epoch 1 | Batch 2750/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0158
2025-12-08 23:33:20,142 - INFO - Epoch 1 | Batch 2875/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0159
2025-12-08 23:33:50,546 - INFO - Epoch 1 | Batch 3000/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
2025-12-08 23:34:21,058 - INFO - Epoch 1 | Batch 3125/3375 | Acc 0.0000 | Reward -0.0000 | Active 0.0157
2025-12-08 23:34:51,533 - INFO - Epoch 1 | Batch 3250/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
2025-12-08 23:35:22,054 - INFO - Epoch 1 | Batch 3375/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
2025-12-08 23:36:08,822 - INFO - Epoch 2 | Batch 125/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0158
2025-12-08 23:36:39,476 - INFO - Epoch 2 | Batch 250/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0156
2025-12-08 23:37:10,060 - INFO - Epoch 2 | Batch 375/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0157
2025-12-08 23:37:40,545 - INFO - Epoch 2 | Batch 500/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0156
2025-12-08 23:38:11,105 - INFO - Epoch 2 | Batch 625/3375 | Acc 0.0000 | Reward -0.0000 | Active 0.0157
2025-12-08 23:38:41,895 - INFO - Epoch 2 | Batch 750/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
2025-12-08 23:39:12,468 - INFO - Epoch 2 | Batch 875/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0157
