2025-12-09 15:44:58,934 - INFO - Args: {'scenario': 'semi', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 16284, 'events_per_image': 1024, 'run_name': 'semi_20251209_154456', 'log_interval': 125, 'num_epochs': 15, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 80, 'T_sup': 100, 'spike_array_len': 20, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 300, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 1024, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'poisson', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456'}
2025-12-09 15:44:58,934 - INFO - Starting scenario: semi
2025-12-09 15:44:58,934 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456
2025-12-09 15:44:58,934 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456
2025-12-09 16:21:05,282 - INFO - Epoch 2 | Batch 1875/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:21:36,026 - INFO - Epoch 2 | Batch 2000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:22:06,928 - INFO - Epoch 2 | Batch 2125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:22:37,788 - INFO - Epoch 2 | Batch 2250/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:23:08,879 - INFO - Epoch 2 | Batch 2375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:23:39,573 - INFO - Epoch 2 | Batch 2500/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:24:10,330 - INFO - Epoch 2 | Batch 2625/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:24:41,194 - INFO - Epoch 2 | Batch 2750/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:25:12,145 - INFO - Epoch 2 | Batch 2875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:25:43,209 - INFO - Epoch 2 | Batch 3000/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:26:14,270 - INFO - Epoch 2 | Batch 3125/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:26:45,226 - INFO - Epoch 2 | Batch 3250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:27:16,182 - INFO - Epoch 2 | Batch 3375/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:27:55,923 - INFO - Epoch 3 | Batch 125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:28:26,739 - INFO - Epoch 3 | Batch 250/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:28:57,363 - INFO - Epoch 3 | Batch 375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:29:27,888 - INFO - Epoch 3 | Batch 500/3375 | Acc 0.0000 | Reward -1.0000
2025-12-09 16:29:58,640 - INFO - Epoch 3 | Batch 625/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:30:29,497 - INFO - Epoch 3 | Batch 750/3375 | Acc 0.0000 | Reward -1.0000
2025-12-09 16:31:00,220 - INFO - Epoch 3 | Batch 875/3375 | Acc 0.1875 | Reward -0.6250
2025-12-09 16:31:30,995 - INFO - Epoch 3 | Batch 1000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:32:01,673 - INFO - Epoch 3 | Batch 1125/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:32:33,413 - INFO - Epoch 3 | Batch 1250/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:33:05,837 - INFO - Epoch 3 | Batch 1375/3375 | Acc 0.0000 | Reward -1.0000
2025-12-09 16:33:36,601 - INFO - Epoch 3 | Batch 1500/3375 | Acc 0.1875 | Reward -0.6250
2025-12-09 16:34:07,120 - INFO - Epoch 3 | Batch 1625/3375 | Acc 0.0000 | Reward -1.0000
2025-12-09 16:34:37,674 - INFO - Epoch 3 | Batch 1750/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:35:08,388 - INFO - Epoch 3 | Batch 1875/3375 | Acc 0.0000 | Reward -1.0000
2025-12-09 16:35:39,024 - INFO - Epoch 3 | Batch 2000/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 16:36:09,946 - INFO - Epoch 3 | Batch 2125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 16:36:40,645 - INFO - Epoch 3 | Batch 2250/3375 | Acc 0.1250 | Reward -0.7500
