epoch	acc	reward	align	active_ratio
1	0.097667	-0.000002	-0.000002	0.003865
2	0.097667	-0.000001	-0.000001	0.004049
3	0.097667	-0.000001	-0.000001	0.003992
4	0.097667	-0.000001	-0.000001	0.003984
5	0.097667	-0.000001	-0.000001	0.003987
6	0.097667	-0.000001	-0.000001	0.003987
7	0.097667	-0.000001	-0.000001	0.003992
8	0.097667	-0.000001	-0.000001	0.003998
9	0.097667	-0.000001	-0.000001	0.004003
10	0.097667	-0.000001	-0.000001	0.004010
11	0.097667	-0.000001	-0.000001	0.004009
12	0.097667	-0.000001	-0.000001	0.004011
13	0.097667	-0.000001	-0.000001	0.004016
14	0.097667	-0.000001	-0.000001	0.004024
15	0.097667	-0.000001	-0.000001	0.004023
